Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2020-01-02,163.9199981689453,167.07000732421875,163.5800018310547,166.99000549316406,166.251953125,5189300,CRM
2020-01-03,165.05999755859375,166.77000427246094,165.0,166.1699981689453,165.43556213378906,3205400,CRM
2020-01-06,165.0,173.6699981689453,164.4499969482422,173.4499969482422,172.6833953857422,8836200,CRM
2020-01-07,173.22999572753906,176.8699951171875,172.08999633789062,176.0,175.2221221923828,8272700,CRM
2020-01-08,175.22999572753906,178.85000610351562,174.75,177.3300018310547,176.54624938964844,7225100,CRM
2020-01-09,178.83999633789062,179.89999389648438,177.2899932861328,179.60000610351562,178.80621337890625,5952900,CRM
2020-01-10,179.83999633789062,180.67999267578125,178.69000244140625,180.1999969482422,179.403564453125,5111800,CRM
2020-01-13,181.25999450683594,184.4499969482422,181.1300048828125,183.85000610351562,183.03744506835938,6202600,CRM
2020-01-14,183.5,183.85000610351562,182.0399932861328,182.1199951171875,181.3150634765625,4342300,CRM
2020-01-15,181.67999267578125,183.08999633789062,180.6199951171875,181.05999755859375,180.25975036621094,3886600,CRM
2020-01-16,182.22999572753906,183.11000061035156,180.9600067138672,182.69000244140625,181.88255310058594,3485300,CRM
2020-01-17,183.22999572753906,183.33999633789062,181.36000061035156,182.22999572753906,181.42457580566406,4577000,CRM
2020-01-21,181.50999450683594,186.0,181.5,185.27000427246094,184.45115661621094,6302400,CRM
2020-01-22,185.38999938964844,186.44000244140625,182.69000244140625,182.75,181.94229125976562,4781800,CRM
2020-01-23,183.2100067138672,184.3000030517578,181.3000030517578,183.97999572753906,183.16683959960938,4369000,CRM
2020-01-24,185.0,186.1300048828125,181.1300048828125,182.11000061035156,181.30511474609375,4653600,CRM
2020-01-27,178.77000427246094,181.72999572753906,177.3000030517578,180.7100067138672,179.91131591796875,4239400,CRM
2020-01-28,181.13999938964844,183.86000061035156,180.35000610351562,182.85000610351562,182.04185485839844,3445300,CRM
2020-01-29,184.0,184.10000610351562,181.6199951171875,181.77000427246094,180.9666290283203,2785500,CRM
2020-01-30,180.89999389648438,185.94000244140625,180.5399932861328,185.6699981689453,184.84939575195312,3715700,CRM
2020-01-31,184.86000061035156,186.02999877929688,180.7899932861328,182.30999755859375,181.50424194335938,4193300,CRM
2020-02-03,183.25999450683594,185.8699951171875,181.85000610351562,185.4199981689453,184.60047912597656,4755200,CRM
2020-02-04,188.0,189.69000244140625,186.64999389648438,188.33999633789062,187.50758361816406,3983200,CRM
2020-02-05,190.39999389648438,190.5500030517578,182.86000061035156,185.49000549316406,184.67018127441406,6162700,CRM
2020-02-06,186.8300018310547,187.55999755859375,184.24000549316406,186.72999572753906,185.90469360351562,4102700,CRM
2020-02-07,186.85000610351562,188.64999389648438,185.64999389648438,185.72000122070312,184.89918518066406,3713100,CRM
2020-02-10,186.1699981689453,189.27000427246094,185.55999755859375,189.1199951171875,188.28411865234375,3873500,CRM
2020-02-11,191.47999572753906,192.60000610351562,188.64999389648438,189.11000061035156,188.274169921875,4299200,CRM
2020-02-12,189.7100067138672,190.52000427246094,186.77000427246094,189.4600067138672,188.6226348876953,4535400,CRM
2020-02-13,188.5,191.0500030517578,188.4199981689453,188.63999938964844,187.80625915527344,3132100,CRM
2020-02-14,189.35000610351562,190.25,188.10000610351562,189.9499969482422,189.11045837402344,3599400,CRM
2020-02-18,190.9499969482422,191.5,188.9199981689453,191.08999633789062,190.24542236328125,4957000,CRM
2020-02-19,192.0,193.9199981689453,191.8000030517578,192.8699951171875,192.01756286621094,3903200,CRM
2020-02-20,194.0,195.72000122070312,189.77000427246094,193.36000061035156,192.50540161132812,5451200,CRM
2020-02-21,191.83999633789062,192.0399932861328,186.72000122070312,189.5,188.66246032714844,5242100,CRM
2020-02-24,178.7899932861328,187.14999389648438,178.7899932861328,185.94000244140625,185.11819458007812,8463300,CRM
2020-02-25,188.47000122070312,189.97999572753906,179.42999267578125,181.27000427246094,180.46884155273438,11361100,CRM
2020-02-26,176.5399932861328,182.6699981689453,174.25,178.8699951171875,178.0794219970703,13923100,CRM
2020-02-27,172.2100067138672,178.3300018310547,170.0500030517578,172.14999389648438,171.38914489746094,9927300,CRM
2020-02-28,164.99000549316406,171.77000427246094,163.1199951171875,170.39999389648438,169.64686584472656,12640800,CRM
2020-03-02,172.1999969482422,176.7899932861328,168.58999633789062,176.75999450683594,175.978759765625,7761000,CRM
2020-03-03,178.41000366210938,178.4199981689453,167.08999633789062,169.3699951171875,168.6214141845703,8323500,CRM
2020-03-04,172.25,175.80999755859375,169.6300048828125,175.69000244140625,174.9134979248047,5846300,CRM
2020-03-05,172.57000732421875,173.75,168.10000610351562,169.60000610351562,168.85043334960938,5797500,CRM
2020-03-06,165.6699981689453,167.57000732421875,158.5399932861328,164.0800018310547,163.35482788085938,9757700,CRM
2020-03-09,151.6999969482422,157.7100067138672,150.63999938964844,151.2100067138672,150.5417022705078,9657100,CRM
2020-03-10,157.22999572753906,161.47000122070312,151.0,161.33999633789062,160.62692260742188,11443900,CRM
2020-03-11,157.67999267578125,159.6199951171875,150.14999389648438,154.57000732421875,153.88685607910156,10341300,CRM
2020-03-12,144.33999633789062,151.22999572753906,140.10000610351562,140.58999633789062,139.9686279296875,13213000,CRM
2020-03-13,149.47000122070312,149.5,135.32000732421875,147.77999877929688,147.12684631347656,13765400,CRM
2020-03-16,134.00999450683594,141.5500030517578,123.38999938964844,124.30000305175781,123.75062561035156,13845300,CRM
2020-03-17,127.0,138.00999450683594,122.91999816894531,135.4199981689453,134.82147216796875,12191500,CRM
2020-03-18,125.54000091552734,133.4199981689453,115.29000091552734,132.24000549316406,131.65553283691406,12988200,CRM
2020-03-19,131.58999633789062,144.0,128.86000061035156,139.4600067138672,138.8436279296875,10444000,CRM
2020-03-20,140.4199981689453,146.1999969482422,134.60000610351562,139.35000610351562,138.73411560058594,12450100,CRM
2020-03-23,138.75999450683594,143.72000122070312,134.08999633789062,140.52000427246094,139.89894104003906,11898300,CRM
2020-03-24,144.6300048828125,154.13999938964844,143.17999267578125,153.63999938964844,152.96095275878906,11834400,CRM
